Month,AustralianPort,ForeignPort,Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Passengers_Total,Freight_Total_(tonnes),Mail_Total_(tonnes),Year,Month_num
Jan-85,Melbourne,Athens,Greece,1753,21.253,2.337,904,1.222,1.791,2657,22.475,4.128,1985,1
Jan-85,Melbourne,Auckland,New Zealand,6039,200.015,0.799,5328,155.065,3.726,11367,355.08,4.525,1985,1
Jan-85,Melbourne,Bahrain,Bahrain,89,0.054,0,28,9.694,1.063,117,9.748,1.063,1985,1
Jan-85,Melbourne,Bandar Seri Begawan,Brunei,73,0,0,53,8,0,126,8,0,1985,1
Jan-85,Melbourne,Bangkok,Thailand,2449,76.724,0.009,1862,132.688,0.409,4311,209.412,0.418,1985,1
Jan-85,Melbourne,Beijing,China,544,2.127,0,496,0.48,0,1040,2.607,0,1985,1
Jan-85,Melbourne,Belgrade,Yugoslavia,1306,37.979,0,797,0.666,0.168,2103,38.645,0.168,1985,1
Jan-85,Melbourne,Bombay,India,220,7.737,0.358,258,1.262,0.359,478,8.999,0.717,1985,1
Jan-85,Melbourne,Christchurch,New Zealand,3336,98.851,0.619,3193,42.301,0.976,6529,141.152,1.595,1985,1
Jan-85,Melbourne,Colombo,Sri Lanka,198,0.438,0,128,2.989,0,326,3.427,0,1985,1
Jan-85,Melbourne,Denpasar,Indonesia,3860,3.737,0,2578,0.062,0,6438,3.799,0,1985,1
Jan-85,Melbourne,Dubai,United Arab Emirates,19,0.072,0,27,150.827,0,46,150.899,0,1985,1
Jan-85,Melbourne,Frankfurt,Germany,1254,539.258,3.456,956,210.632,4.378,2210,749.89,7.834,1985,1
Jan-85,Melbourne,Hong Kong,Hong Kong,6456,167.102,0.505,4287,305.274,2.148,10743,472.376,2.653,1985,1
Jan-85,Melbourne,Honolulu,USA,2546,12.515,0,1266,32.612,0.21,3812,45.127,0.21,1985,1
Jan-85,Melbourne,Houston,USA,17,0,0,0,0,0,17,0,0,1985,1
Jan-85,Melbourne,Jakarta,Indonesia,144,83.967,0.139,1331,135.274,0.255,1475,219.241,0.394,1985,1
Jan-85,Melbourne,Kuala Lumpur,Malaysia,2816,119.461,0.56,2407,157.317,0.099,5223,276.778,0.659,1985,1
Jan-85,Melbourne,Larnaca,Cyprus,23,0,0,0,0,0,23,0,0,1985,1
Jan-85,Melbourne,London,UK,3167,142.407,0.274,2545,15.36,16.638,5712,157.767,16.912,1985,1
Jan-85,Melbourne,Los Angeles,USA,2291,244.44,0,1770,166.153,0.168,4061,410.593,0.168,1985,1
Jan-85,Melbourne,Manchester,UK,435,31.599,0,355,0.243,0,790,31.842,0,1985,1
Jan-85,Melbourne,Manila,Philippines,2580,59.913,0,1780,43.518,0.15,4360,103.431,0.15,1985,1
Jan-85,Melbourne,Mauritius,Mauritius,0,0,0,29,19.512,0,29,19.512,0,1985,1
Jan-85,Melbourne,Muscat,Oman,166,0,0,143,47.6,0,309,47.6,0,1985,1
Jan-85,Melbourne,Nadi,Fiji,2833,26.4,0.053,1846,57.065,1.209,4679,83.465,1.262,1985,1
Jan-85,Melbourne,Nauru,Nauru,85,0.192,0,54,20.749,0,139,20.941,0,1985,1
Jan-85,Melbourne,New York,USA,74,0.335,0,0,0,0,74,0.335,0,1985,1
Jan-85,Melbourne,Noumea,New Caledonia,684,0.949,0,494,11.098,0.099,1178,12.047,0.099,1985,1
Jan-85,Melbourne,Papeete,Tahiti,269,0.734,0,153,25.735,0,422,26.469,0,1985,1
Jan-85,Melbourne,Port Vila,Vanuatu,176,0.019,0,123,8.258,0,299,8.277,0,1985,1
Jan-85,Melbourne,Rome,Italy,1671,60.11,1.105,1314,13.317,1.253,2985,73.427,2.358,1985,1
Jan-85,Melbourne,San Francisco,USA,1067,68.061,0,783,52.885,14.499,1850,120.946,14.499,1985,1
Jan-85,Melbourne,Singapore,Singapore,8882,223.272,2.436,6430,588.709,2.612,15312,811.981,5.048,1985,1
Jan-85,Melbourne,Tokyo,Japan,228,42.059,1.404,333,15.395,0.892,561,57.454,2.296,1985,1
Jan-85,Melbourne,Vancouver,Canada,98,0,0,76,0.181,1.016,174,0.181,1.016,1985,1
Jan-85,Melbourne,Wellington,New Zealand,2202,36.85,1.668,1595,33.977,2.231,3797,70.827,3.899,1985,1
Jan-85,Norfolk Island,Auckland,New Zealand,367,9.708,0.288,546,0.12,0.122,913,9.828,0.41,1985,1
Jan-85,Perth,Auckland,New Zealand,2279,52.959,0,1904,7.775,0,4183,60.734,0,1985,1
Jan-85,Perth,Bahrain,Bahrain,25,0,0,30,13.84,0,55,13.84,0,1985,1
Jan-85,Perth,Bangkok,Thailand,727,11.687,0,759,15.307,0.117,1486,26.994,0.117,1985,1
Jan-85,Perth,Bombay,India,649,4.235,0,463,5.315,0.194,1112,9.55,0.194,1985,1
Jan-85,Perth,Denpasar,Indonesia,2306,35.044,0,2842,5.222,0.044,5148,40.266,0.044,1985,1
Jan-85,Perth,Frankfurt,Germany,131,0.044,0,205,0.163,0.329,336,0.207,0.329,1985,1
Jan-85,Perth,Harare,Zimbabwe,382,0.798,0,333,2.864,0.073,715,3.662,0.073,1985,1
Jan-85,Perth,Hong Kong,Hong Kong,2393,18.715,0,1939,117.437,0.152,4332,136.152,0.152,1985,1
Jan-85,Perth,Honolulu,USA,0,0,0,60,0,0.003,60,0,0.003,1985,1
Jan-85,Perth,Jakarta,Indonesia,622,0.865,0,391,87.307,0,1013,88.172,0,1985,1
Jan-85,Perth,Johannesburg,South Africa,312,8.144,0,306,5.659,0,618,13.803,0,1985,1
Jan-85,Perth,Kuala Lumpur,Malaysia,2087,47.131,0.094,2032,190.206,0.307,4119,237.337,0.401,1985,1
Jan-85,Perth,London,UK,3146,8.717,4.975,2878,13.294,3.387,6024,22.011,8.362,1985,1
Jan-85,Perth,Mauritius,Mauritius,52,0.153,0,41,0.062,0,93,0.215,0,1985,1
Jan-85,Perth,Muscat,Oman,8,0,0,7,7,0,15,7,0,1985,1
Jan-85,Perth,Rome,Italy,161,0.041,0.015,226,0.144,0.297,387,0.185,0.312,1985,1
Jan-85,Perth,San Francisco,USA,0,0,0,147,0.069,1.198,147,0.069,1.198,1985,1
Jan-85,Perth,Singapore,Singapore,7579,140.787,1.559,7201,883.042,0.467,14780,1023.829,2.026,1985,1
Jan-85,Perth,Tokyo,Japan,55,3.004,0,35,13.661,0.262,90,16.665,0.262,1985,1
Jan-85,Port Hedland,Denpasar,Indonesia,130,0,0,178,0,0,308,0,0,1985,1
Jan-85,Sydney,Abu Dhabi,United Arab Emirates,328,0.1,0,105,36.9,0,433,37,0,1985,1
Jan-85,Sydney,Amsterdam,Netherlands,1163,39.563,0.555,707,7.566,3.261,1870,47.129,3.816,1985,1
Jan-85,Sydney,Apia,Western Samoa,411,0.687,0,327,2.101,0,738,2.788,0,1985,1
Jan-85,Sydney,Athens,Greece,2131,37.21,1.924,995,2.933,1.573,3126,40.143,3.497,1985,1
Jan-85,Sydney,Auckland,New Zealand,26722,1016.616,8.221,22056,576.93,39.621,48778,1593.546,47.842,1985,1
Jan-85,Sydney,Bahrain,Bahrain,187,1.08,0.42,214,23.287,1.293,401,24.367,1.713,1985,1
Jan-85,Sydney,Bandar Seri Begawan,Brunei,56,0.2,0,61,48.1,0,117,48.3,0,1985,1
Jan-85,Sydney,Bangkok,Thailand,2576,58.329,0.522,2388,129.661,1.08,4964,187.99,1.602,1985,1
Jan-85,Sydney,Beijing,China,1226,15.075,0.177,1095,2.67,0.007,2321,17.745,0.184,1985,1
Jan-85,Sydney,Belgrade,Yugoslavia,1682,43.881,0.864,937,1.666,0.116,2619,45.547,0.98,1985,1
Jan-85,Sydney,Bombay,India,1335,46.492,0.431,1103,13.67,1.141,2438,60.162,1.572,1985,1
Jan-85,Sydney,Christchurch,New Zealand,9076,292.101,2.285,7103,59.586,2.903,16179,351.687,5.188,1985,1
Jan-85,Sydney,Colombo,Sri Lanka,178,1.184,0,165,4.759,0,343,5.943,0,1985,1
Jan-85,Sydney,Denpasar,Indonesia,3022,38.938,0,2636,0.107,0.033,5658,39.045,0.033,1985,1
Jan-85,Sydney,Dubai,United Arab Emirates,78,0.065,0,190,73.821,0,268,73.886,0,1985,1
Jan-85,Sydney,Frankfurt,Germany,1509,125.451,3.8,1502,28.146,7.199,3011,153.597,10.999,1985,1
Jan-85,Sydney,Guangzhou,China,659,0.942,0,634,1.219,0,1293,2.161,0,1985,1
Jan-85,Sydney,Harare,Zimbabwe,833,2.948,0,831,4.796,0.196,1664,7.744,0.196,1985,1
Jan-85,Sydney,Hong Kong,Hong Kong,10124,228.641,0.969,6436,368.354,3.482,16560,596.995,4.451,1985,1
Jan-85,Sydney,Honolulu,USA,7466,102.89,0,3796,39.156,0.719,11262,142.046,0.719,1985,1
Jan-85,Sydney,Houston,USA,62,0,0,0,0,0,62,0,0,1985,1
Jan-85,Sydney,Jakarta,Indonesia,2493,115.342,0.814,2688,75.923,0.521,5181,191.265,1.335,1985,1
Jan-85,Sydney,Johannesburg,South Africa,861,13.529,0,880,15.37,0,1741,28.899,0,1985,1
Jan-85,Sydney,Kuala Lumpur,Malaysia,2679,87.41,1.023,2478,214.535,0.545,5157,301.945,1.568,1985,1
Jan-85,Sydney,Larnaca,Cyprus,34,0,0,0,0,0,34,0,0,1985,1
Jan-85,Sydney,London,UK,5823,358.724,1.531,4864,68.781,20.61,10687,427.505,22.141,1985,1
Jan-85,Sydney,Los Angeles,USA,6640,884.583,0.01,5709,214.287,0.352,12349,1098.87,0.362,1985,1
Jan-85,Sydney,Manchester,UK,498,11.682,0,484,0.447,0.276,982,12.129,0.276,1985,1
Jan-85,Sydney,Manila,Philippines,4003,207.971,0.233,2522,59.598,1.252,6525,267.569,1.485,1985,1
Jan-85,Sydney,Mauritius,Mauritius,171,6.713,0,120,1.463,0,291,8.176,0,1985,1
Jan-85,Sydney,Muscat,Oman,204,0.3,0,167,29.4,0,371,29.7,0,1985,1
Jan-85,Sydney,Nadi,Fiji,7553,30.004,0,5400,155.083,0.176,12953,185.087,0.176,1985,1
Jan-85,Sydney,Nauru,Nauru,76,0.02,0,42,3.247,0,118,3.267,0,1985,1
Jan-85,Sydney,New York,USA,251,3.615,0,0,0,0,251,3.615,0,1985,1
Jan-85,Sydney,Noumea,New Caledonia,2581,25.454,0.199,1769,79.948,0.224,4350,105.402,0.423,1985,1
Jan-85,Sydney,Papeete,Tahiti,1256,14.867,0.152,1289,11.817,0.791,2545,26.684,0.943,1985,1
Jan-85,Sydney,Paris,France,497,1.285,0,351,18.694,0,848,19.979,0,1985,1
Jan-85,Sydney,Port Moresby,Papua New Guinea,2562,34.436,2.313,2560,89.331,8.974,5122,123.767,11.287,1985,1
Jan-85,Sydney,Port Vila,Vanuatu,1215,0.729,0,870,0,0,2085,0.729,0,1985,1
Jan-85,Sydney,Rome,Italy,1886,57.14,2.877,1423,24.894,1.593,3309,82.034,4.47,1985,1
Jan-85,Sydney,San Francisco,USA,3277,150.35,0,2827,85.575,26.559,6104,235.925,26.559,1985,1
Jan-85,Sydney,Singapore,Singapore,13422,288.891,6.384,10477,576.498,4.326,23899,865.389,10.71,1985,1
Jan-85,Sydney,Tokyo,Japan,5949,313.35,15.19,5993,185.748,5.289,11942,499.098,20.479,1985,1
Jan-85,Sydney,Vancouver,Canada,1515,15.097,0,1138,28.574,1.216,2653,43.671,1.216,1985,1
Jan-85,Sydney,Wellington,New Zealand,4562,93.405,2.959,3675,55.629,6.358,8237,149.034,9.317,1985,1
Jan-85,Townsville,Auckland,New Zealand,824,15.041,0,472,3.316,0,1296,18.357,0,1985,1
Jan-85,Townsville,Bahrain,Bahrain,0,0,0,1,0.216,0,1,0.216,0,1985,1
Jan-85,Townsville,Frankfurt,Germany,0,0,0,36,0,0,36,0,0,1985,1
Jan-85,Townsville,London,UK,125,0,0,121,0.729,0,246,0.729,0,1985,1
Jan-85,Townsville,Rome,Italy,0,0,0,19,0,0,19,0,0,1985,1
Jan-85,Townsville,Singapore,Singapore,409,0.597,0,341,5.152,0,750,5.749,0,1985,1
Feb-85,Adelaide,Auckland,New Zealand,914,81.12,0.31,921,37.071,0.95,1835,118.191,1.26,1985,2
Feb-85,Adelaide,Bahrain,Bahrain,4,0,0,15,0,0,19,0,0,1985,2
Feb-85,Adelaide,Bombay,India,6,0,0,2,0.018,0,8,0.018,0,1985,2
Feb-85,Adelaide,Frankfurt,Germany,235,0.021,0,146,0,0.244,381,0.021,0.244,1985,2
Feb-85,Adelaide,London,UK,1092,1.8,0,1099,24.393,2.257,2191,26.193,2.257,1985,2
Feb-85,Adelaide,Muscat,Oman,4,0,0,4,1.4,0,8,1.4,0,1985,2
Feb-85,Adelaide,Rome,Italy,86,0.084,0,80,0,0,166,0.084,0,1985,2
Feb-85,Adelaide,Singapore,Singapore,1919,60.058,0.2,1288,209.707,0.103,3207,269.765,0.303,1985,2
Feb-85,Brisbane,Abu Dhabi,United Arab Emirates,0,0,0,63,1.2,0,63,1.2,0,1985,2
Feb-85,Brisbane,Auckland,New Zealand,3713,247.356,1.096,4909,71.973,2.345,8622,319.329,3.441,1985,2
Feb-85,Brisbane,Bahrain,Bahrain,12,0,0,3,1.144,0,15,1.144,0,1985,2
Feb-85,Brisbane,Bangkok,Thailand,398,12.786,0,422,5.402,0,820,18.188,0,1985,2
Feb-85,Brisbane,Bombay,India,53,0,0,26,0.001,0.091,79,0.001,0.091,1985,2
Feb-85,Brisbane,Christchurch,New Zealand,1771,176.091,0.234,1799,25.624,0,3570,201.715,0.234,1985,2
Feb-85,Brisbane,Frankfurt,Germany,144,0,0,138,0.026,0.595,282,0.026,0.595,1985,2
Feb-85,Brisbane,Hong Kong,Hong Kong,1419,10.427,0,1107,35.911,0.011,2526,46.338,0.011,1985,2
Feb-85,Brisbane,Honiara,Solomon Islands,369,1.582,0,370,11.865,0,739,13.447,0,1985,2
Feb-85,Brisbane,Honolulu,USA,161,7.601,0,171,0.68,0,332,8.281,0,1985,2
Feb-85,Brisbane,Kuala Lumpur,Malaysia,40,0.2,0,51,3.2,0,91,3.4,0,1985,2
Feb-85,Brisbane,London,UK,932,41.118,0,1026,1.613,3.152,1958,42.731,3.152,1985,2
Feb-85,Brisbane,Los Angeles,USA,57,5.789,0,0,0.009,0,57,5.798,0,1985,2
Feb-85,Brisbane,Manila,Philippines,1210,6.705,0,640,16.588,0.132,1850,23.293,0.132,1985,2
Feb-85,Brisbane,Muscat,Oman,3,0,0,0,0,0,3,0,0,1985,2
Feb-85,Brisbane,Nadi,Fiji,501,3.027,0,445,3.569,0,946,6.596,0,1985,2
Feb-85,Brisbane,Noumea,New Caledonia,170,0.608,0,247,1.219,0,417,1.827,0,1985,2
Feb-85,Brisbane,Port Moresby,Papua New Guinea,1115,8.777,0.632,1744,40.84,3.378,2859,49.617,4.01,1985,2
Feb-85,Brisbane,Port Vila,Vanuatu,131,0.273,0,178,4.842,0,309,5.115,0,1985,2
Feb-85,Brisbane,Rome,Italy,60,0.014,0,37,0,0.112,97,0.014,0.112,1985,2
Feb-85,Brisbane,San Francisco,USA,249,0.007,0,238,2.494,1.588,487,2.501,1.588,1985,2
Feb-85,Brisbane,Singapore,Singapore,1881,58.206,0,1353,86.44,0.25,3234,144.646,0.25,1985,2
Feb-85,Brisbane,Suva,Fiji,64,0.357,0,77,0.109,0,141,0.466,0,1985,2
Feb-85,Brisbane,Tokyo,Japan,455,7.364,0,206,5.626,0.312,661,12.99,0.312,1985,2
Feb-85,Brisbane,Vancouver,Canada,68,2.12,0,107,1.309,0.323,175,3.429,0.323,1985,2
Feb-85,Brisbane,Wellington,New Zealand,504,44.219,0.238,607,18.183,0.444,1111,62.402,0.682,1985,2
Feb-85,Cairns,Honolulu,USA,156,0.153,0,275,4.27,0,431,4.423,0,1985,2
Feb-85,Cairns,Los Angeles,USA,22,0,0,0,0.073,0,22,0.073,0,1985,2
Feb-85,Cairns,Port Moresby,Papua New Guinea,521,1.048,0,611,10.14,0,1132,11.188,0,1985,2
Feb-85,Cairns,San Francisco,USA,248,0,0,289,0.333,0,537,0.333,0,1985,2
Feb-85,Cairns,Vancouver,Canada,76,0,0,63,0.3,0,139,0.3,0,1985,2
Feb-85,Darwin,Auckland,New Zealand,128,6.474,0,98,0.076,0.063,226,6.55,0.063,1985,2
Feb-85,Darwin,Bahrain,Bahrain,2,0,0,1,0,0,3,0,0,1985,2
Feb-85,Darwin,Bandar Seri Begawan,Brunei,255,0.02,0,239,2.522,0,494,2.542,0,1985,2
Feb-85,Darwin,Bombay,India,0,0,0,4,0,0,4,0,0,1985,2
Feb-85,Darwin,Denpasar,Indonesia,439,0.458,0,443,0,0,882,0.458,0,1985,2
Feb-85,Darwin,Frankfurt,Germany,0,0,0,24,0.006,0.012,24,0.006,0.012,1985,2
Feb-85,Darwin,Jakarta,Indonesia,31,0.129,0,61,0.011,0,92,0.14,0,1985,2
Feb-85,Darwin,London,UK,84,0,0,62,0.087,0.068,146,0.087,0.068,1985,2
Feb-85,Darwin,Rome,Italy,0,0,0,31,0,0.006,31,0,0.006,1985,2
Feb-85,Darwin,Singapore,Singapore,707,4.587,0.003,428,5.235,0.048,1135,9.822,0.051,1985,2
Feb-85,Hobart,Christchurch,New Zealand,776,8.383,0.156,587,1.485,0.012,1363,9.868,0.168,1985,2
Feb-85,Melbourne,Abu Dhabi,United Arab Emirates,44,0,0,0,0,0,44,0,0,1985,2
Feb-85,Melbourne,Amsterdam,Netherlands,662,20.39,0.442,664,3.022,1.576,1326,23.412,2.018,1985,2
Feb-85,Melbourne,Athens,Greece,1741,19.935,0.604,1319,0.563,1.434,3060,20.498,2.038,1985,2
Feb-85,Melbourne,Auckland,New Zealand,5122,310.085,0.822,5470,218.713,3.767,10592,528.798,4.589,1985,2
Feb-85,Melbourne,Bahrain,Bahrain,54,0.06,0.005,40,18.499,1.174,94,18.559,1.179,1985,2
Feb-85,Melbourne,Bandar Seri Begawan,Brunei,64,0,0,44,12,0,108,12,0,1985,2
Feb-85,Melbourne,Bangkok,Thailand,2064,96.454,0.018,1424,177.926,0.211,3488,274.38,0.229,1985,2
Feb-85,Melbourne,Beijing,China,473,0.539,0,501,0.731,0,974,1.27,0,1985,2
Feb-85,Melbourne,Belgrade,Yugoslavia,1137,43.209,0,715,1.282,0.134,1852,44.491,0.134,1985,2
Feb-85,Melbourne,Bombay,India,246,12.328,0.369,205,1.231,0.339,451,13.559,0.708,1985,2
Feb-85,Melbourne,Christchurch,New Zealand,3193,122.1,0.552,3005,92.824,0.944,6198,214.924,1.496,1985,2
Feb-85,Melbourne,Colombo,Sri Lanka,239,0.391,0,81,2.748,0,320,3.139,0,1985,2
Feb-85,Melbourne,Denpasar,Indonesia,3066,1.546,0,1466,0.25,0,4532,1.796,0,1985,2
Feb-85,Melbourne,Dubai,United Arab Emirates,44,0,0,41,160.912,0,85,160.912,0,1985,2
Feb-85,Melbourne,Frankfurt,Germany,1343,533.536,4.293,872,174.407,5.035,2215,707.943,9.328,1985,2
Feb-85,Melbourne,Hong Kong,Hong Kong,6145,233.389,0.702,3181,403.519,2.093,9326,636.908,2.795,1985,2
Feb-85,Melbourne,Honolulu,USA,1399,5.226,0,1146,18.366,0.211,2545,23.592,0.211,1985,2
Feb-85,Melbourne,Houston,USA,25,0,0,0,0,0,25,0,0,1985,2
Feb-85,Melbourne,Jakarta,Indonesia,152,99.789,0.088,941,168.184,0.331,1093,267.973,0.419,1985,2
Feb-85,Melbourne,Kuala Lumpur,Malaysia,2143,90.975,0.609,1799,219.386,0.018,3942,310.361,0.627,1985,2
Feb-85,Melbourne,London,UK,2314,127.59,0.354,2259,20.053,17.687,4573,147.643,18.041,1985,2
Feb-85,Melbourne,Los Angeles,USA,1731,213.91,0,1591,188.553,0.11,3322,402.463,0.11,1985,2
Feb-85,Melbourne,Manchester,UK,294,22.891,0.098,368,0.519,0,662,23.41,0.098,1985,2
Feb-85,Melbourne,Manila,Philippines,1890,100.979,0,1411,60.978,0.12,3301,161.957,0.12,1985,2
Feb-85,Melbourne,Muscat,Oman,179,0.1,0,91,41.6,0,270,41.7,0,1985,2
Feb-85,Melbourne,Nadi,Fiji,1256,17.034,0.103,1014,74.426,1.742,2270,91.46,1.845,1985,2
Feb-85,Melbourne,Nauru,Nauru,139,0.173,0,53,18.109,0,192,18.282,0,1985,2
Feb-85,Melbourne,New York,USA,61,0.002,0,0,0,0,61,0.002,0,1985,2
Feb-85,Melbourne,Noumea,New Caledonia,49,1.19,0,16,4.435,0.021,65,5.625,0.021,1985,2
Feb-85,Melbourne,Papeete,Tahiti,386,0.027,0,213,58.758,0,599,58.785,0,1985,2
Feb-85,Melbourne,Port Vila,Vanuatu,109,0.316,0,121,1.549,0,230,1.865,0,1985,2
Feb-85,Melbourne,Rome,Italy,1647,49.884,1.191,1118,24.623,1.565,2765,74.507,2.756,1985,2
Feb-85,Melbourne,San Francisco,USA,780,69.066,0,609,71.498,16.631,1389,140.564,16.631,1985,2
Feb-85,Melbourne,Singapore,Singapore,7866,240.667,1.65,5409,936.139,2.847,13275,1176.806,4.497,1985,2
Feb-85,Melbourne,Tokyo,Japan,328,51.146,1.913,184,5.316,1.114,512,56.462,3.027,1985,2
Feb-85,Melbourne,Vancouver,Canada,41,0.753,0,85,1.943,1.046,126,2.696,1.046,1985,2
Feb-85,Melbourne,Wellington,New Zealand,995,58.895,0.673,817,31.039,2.003,1812,89.934,2.676,1985,2
Feb-85,Norfolk Island,Auckland,New Zealand,434,5.312,0.434,344,0.128,0.119,778,5.44,0.553,1985,2
Feb-85,Perth,Auckland,New Zealand,1865,55.207,0,1790,9.805,0,3655,65.012,0,1985,2
Feb-85,Perth,Bahrain,Bahrain,25,0,0,32,23.912,0,57,23.912,0,1985,2
Feb-85,Perth,Bangkok,Thailand,770,8.388,0,529,13.56,0.088,1299,21.948,0.088,1985,2
Feb-85,Perth,Bombay,India,647,2.226,0,428,0.328,0.168,1075,2.554,0.168,1985,2
